id,name,Industry,year,scope1_intensity,scope2_intensity,scope3_intensity,scope_1,scope_2,scope_3,energy_cons,waste,waste_recycled,water_cons,waste_water,renewable_energy_pct,waste_recycled_pct,fuel_fleet,donations,donations_pct,contrib_political,legal_spending,fines_spending,employees,employee_turnover,female_pct,female_mgmt_pct,employee_parental_pct,employee_tenure,employee_under30_pct,employee_over50_pct,training_spending
47,Scout24 AG,Media & Internet Services,2020,,,,255.736152,701.069796,1471.585185,14547.6792,,,,,,,,,,,,,834,15.82733813,,,,,,,
47,Scout24 AG,Media & Internet Services,2019,,,,315.260946,536.825457,3368.662416,19839.942,,,,,,,,,,,,,861,22.76422764,,,,,,,
31,Kion Group AG,Industrials,2021,,,,69000000,4800000,20000000,353640000,1276700000,,9000000,4.73E+11,,66,,,,,,,51209,341393.3333,17.1,,,,11.2,37,
80,HeidelbergCement,Chemicals,2020,,,,67900000,4800000,21300000,353640000,,,,,,,,,,,,,53122,664025,,,,,10.6,38.1,
80,HeidelbergCement,Chemicals,2019,,,,72600000,4800000,22700000,353640000,,,,,,,,,,,,,55047,500427.2727,,,,,11.7,36.5,
48,Siemens Healthineers AG,Health Care,2020,,,,105000,239000,2921000,1614904,44600000,,1140000,1080000,38.14468228,82,,4.5,,,,,54276,,31,11.61286757,,,28,18,
55,Telefónica Deutschland Holding AG,Telecomunications,2021,,,,5369,269086,316,2718000,1186597.98,,27200,,,,,,,,,,7416,,38.5,28.6,,,9.79,11.84,
40,Puma SE,Apparel & Textile Products,2018,,,,,,,41785200,1328000000,,,,,,,,,,,,,,19.1,,,,,,
17,Evotec SE,Health Care,2021,,,,4826,4826,,,,,599.7,4517.95,,,59.57,,,,369,,,7,,,,,,,
17,Evotec SE,Health Care,2020,,,,4860,5431,,,,,561.4,11768.84,,,58.5,,,,367,,,4.4,,,,,,,
17,Evotec SE,Health Care,2019,,,,4923,5486,,,,,523.6,14187.36,,,,,,,325,,,5.2,,,,,,,
40,Puma SE,Apparel & Textile Products,2021,,,,4046,34003,264005,319197.6,5215000,,1.17E+14,,,43,,,,,,,,,,44,,,,,
40,Puma SE,Apparel & Textile Products,2020,,,,4179,30917,211108,282060,3949000,,9.66E+13,,,36,,,,,,,,,18.7,43,,,,,
40,Puma SE,Apparel & Textile Products,2019,,,,6326,52519,250240,289400.4,3644000,,8.97E+13,,,44,,,,,,,,,19,41,,,,,
55,Telefónica Deutschland Holding AG,Telecomunications,2020,,,,5623,305896,896,2649600,1503659.14,,61600,,,,,,,,,,8196,,39.4,28.6,,,11.13,10.68,
55,Telefónica Deutschland Holding AG,Telecomunications,2019,,,,7000,412080,4957,2617200,1659241.36,,64730,,,,,,,,,,8443,,40.1,28.6,,,12.92,9.05,
55,Telefónica Deutschland Holding AG,Telecomunications,2017,,,,16220,554808,6889,2847600,1598369.25,,87156,,,,,,,,,,9281,,40.7,25,,,15.54,5.88,
37,Nemetschek SE,Software and Technology Services,2020,,,,146.81,207.1,,,,,,,,,,,,,,,,,31.3,23.7,,,27.2,17.5,
37,Nemetschek SE,Software and Technology Services,2021,,,,143.19,196.65,,,,,,,,,,,,,,,,,31.3,25,,,23.8,54.7,
20,Fuchs Petrolub SE,Chemicals,2019,,,,,,,,,,,,,,,,,,,,,,,22,,10,15,29,
20,Fuchs Petrolub SE,Chemicals,2018,,,,,,,,,,,,,,,,,,,,,,,22,,10,16,28,
37,Nemetschek SE,Software and Technology Services,2019,,,,,,,,,,,,,,,,,,,,,,31.3,24,,,23,41.6,
20,Fuchs Petrolub SE,Chemicals,2020,,,,,,,,,,,,,,,,,,,,,,,24,,10,14,30,
